Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
11/03/2000 00:00:00,11/3/2000,*,*,Hidrelétrica,*,4,36097,24169275
12/03/2000 00:00:00,12/3/2000,*,*,Hidrelétrica,*,4,32775,04585941
13/03/2000 00:00:00,13/3/2000,*,*,Hidrelétrica,*,4,38806,34999614
14/03/2000 00:00:00,14/3/2000,*,*,Hidrelétrica,*,4,40253,73335942
15/03/2000 00:00:00,15/3/2000,*,*,Hidrelétrica,*,4,40692,92919273
16/03/2000 00:00:00,16/3/2000,*,*,Hidrelétrica,*,4,41320,15002647
17/03/2000 00:00:00,17/3/2000,*,*,Hidrelétrica,*,4,41408,88331944
18/03/2000 00:00:00,18/3/2000,*,*,Hidrelétrica,*,4,38086,90829276
19/03/2000 00:00:00,19/3/2000,*,*,Hidrelétrica,*,4,32744,73305486
20/03/2000 00:00:00,20/3/2000,*,*,Hidrelétrica,*,4,39474,43749608
21/03/2000 00:00:00,21/3/2000,*,*,Hidrelétrica,*,4,40405,55830276
22/03/2000 00:00:00,22/3/2000,*,*,Hidrelétrica,*,4,41091,73749277
23/03/2000 00:00:00,23/3/2000,*,*,Hidrelétrica,*,4,41293,86252611
24/03/2000 00:00:00,24/3/2000,*,*,Hidrelétrica,*,4,41528,50002643
25/03/2000 00:00:00,25/3/2000,*,*,Hidrelétrica,*,4,37794,3625334
26/03/2000 00:00:00,26/3/2000,*,*,Hidrelétrica,*,4,34021,78745612
27/03/2000 00:00:00,27/3/2000,*,*,Hidrelétrica,*,4,40754,00835941
28/03/2000 00:00:00,28/3/2000,*,*,Hidrelétrica,*,4,41490,43745939
29/03/2000 00:00:00,29/3/2000,*,*,Hidrelétrica,*,4,41090,86666275
30/03/2000 00:00:00,30/3/2000,*,*,Hidrelétrica,*,4,40804,16248975
31/03/2000 00:00:00,31/3/2000,*,*,Hidrelétrica,*,4,40998,86665942
01/04/2000 00:00:00,1/4/2000,*,*,Hidrelétrica,*,4,37785,67083307
02/04/2000 00:00:00,2/4/2000,*,*,Hidrelétrica,*,4,33223,3916664
03/04/2000 00:00:00,3/4/2000,*,*,Hidrelétrica,*,4,39456,57083312
04/04/2000 00:00:00,4/4/2000,*,*,Hidrelétrica,*,4,40115,95833314
05/04/2000 00:00:00,5/4/2000,*,*,Hidrelétrica,*,4,40703,2916664
06/04/2000 00:00:00,6/4/2000,*,*,Hidrelétrica,*,4,40979,6916664
07/04/2000 00:00:00,7/4/2000,*,*,Hidrelétrica,*,4,41406,8749998
08/04/2000 00:00:00,8/4/2000,*,*,Hidrelétrica,*,4,37961,38749978
09/04/2000 00:00:00,9/4/2000,*,*,Hidrelétrica,*,4,34183,64166643
10/04/2000 00:00:00,10/4/2000,*,*,Hidrelétrica,*,4,40969,41666639
11/04/2000 00:00:00,11/4/2000,*,*,Hidrelétrica,*,4,41849,91666643
12/04/2000 00:00:00,12/4/2000,*,*,Hidrelétrica,*,4,41763,10416646
13/04/2000 00:00:00,13/4/2000,*,*,Hidrelétrica,*,4,41680,55416645
14/04/2000 00:00:00,14/4/2000,*,*,Hidrelétrica,*,4,41946,52083311
15/04/2000 00:00:00,15/4/2000,*,*,Hidrelétrica,*,4,38614,17083312
16/04/2000 00:00:00,16/4/2000,*,*,Hidrelétrica,*,4,34124,9333331
17/04/2000 00:00:00,17/4/2000,*,*,Hidrelétrica,*,4,40408,66249973
18/04/2000 00:00:00,18/4/2000,*,*,Hidrelétrica,*,4,41152,13333306
19/04/2000 00:00:00,19/4/2000,*,*,Hidrelétrica,*,4,41067,60416641
20/04/2000 00:00:00,20/4/2000,*,*,Hidrelétrica,*,4,39484,90833309
21/04/2000 00:00:00,21/4/2000,*,*,Hidrelétrica,*,4,31614,03749972
22/04/2000 00:00:00,22/4/2000,*,*,Hidrelétrica,*,4,33847,81249976
23/04/2000 00:00:00,23/4/2000,*,*,Hidrelétrica,*,4,31744,84999979
24/04/2000 00:00:00,24/4/2000,*,*,Hidrelétrica,*,4,38910,10416648
25/04/2000 00:00:00,25/4/2000,*,*,Hidrelétrica,*,4,40078,75833308
26/04/2000 00:00:00,26/4/2000,*,*,Hidrelétrica,*,4,40444,77083308
27/04/2000 00:00:00,27/4/2000,*,*,Hidrelétrica,*,4,40620,21666644
28/04/2000 00:00:00,28/4/2000,*,*,Hidrelétrica,*,4,41045,52916644
29/04/2000 00:00:00,29/4/2000,*,*,Hidrelétrica,*,4,37673,00833307
30/04/2000 00:00:00,30/4/2000,*,*,Hidrelétrica,*,4,33445,6416665
01/05/2000 00:00:00,1/5/2000,*,*,Hidrelétrica,*,4,32950,11666641
02/05/2000 00:00:00,2/5/2000,*,*,Hidrelétrica,*,4,40617,2458331
03/05/2000 00:00:00,3/5/2000,*,*,Hidrelétrica,*,4,41871,17916644
04/05/2000 00:00:00,4/5/2000,*,*,Hidrelétrica,*,4,41951,39999976
05/05/2000 00:00:00,5/5/2000,*,*,Hidrelétrica,*,4,41725,19999975
06/05/2000 00:00:00,6/5/2000,*,*,Hidrelétrica,*,4,37828,09166643
07/05/2000 00:00:00,7/5/2000,*,*,Hidrelétrica,*,4,33264,04999976
08/05/2000 00:00:00,8/5/2000,*,*,Hidrelétrica,*,4,39717,78333309
09/05/2000 00:00:00,9/5/2000,*,*,Hidrelétrica,*,4,40667,79999981
10/05/2000 00:00:00,10/5/2000,*,*,Hidrelétrica,*,4,40622,79166642
11/05/2000 00:00:00,11/5/2000,*,*,Hidrelétrica,*,4,40260,63333312
12/05/2000 00:00:00,12/5/2000,*,*,Hidrelétrica,*,4,40217,19999977
13/05/2000 00:00:00,13/5/2000,*,*,Hidrelétrica,*,4,37114,68749976
14/05/2000 00:00:00,14/5/2000,*,*,Hidrelétrica,*,4,32495,28749979
15/05/2000 00:00:00,15/5/2000,*,*,Hidrelétrica,*,4,39497,44166639
16/05/2000 00:00:00,16/5/2000,*,*,Hidrelétrica,*,4,40938,14583306
17/05/2000 00:00:00,17/5/2000,*,*,Hidrelétrica,*,4,41247,30833307
18/05/2000 00:00:00,18/5/2000,*,*,Hidrelétrica,*,4,40860,14166642
19/05/2000 00:00:00,19/5/2000,*,*,Hidrelétrica,*,4,40396,13333307
20/05/2000 00:00:00,20/5/2000,*,*,Hidrelétrica,*,4,37310,1208331
21/05/2000 00:00:00,21/5/2000,*,*,Hidrelétrica,*,4,32877,63333309
22/05/2000 00:00:00,22/5/2000,*,*,Hidrelétrica,*,4,38715,95416638
23/05/2000 00:00:00,23/5/2000,*,*,Hidrelétrica,*,4,39556,57499979
24/05/2000 00:00:00,24/5/2000,*,*,Hidrelétrica,*,4,39270,31666641
25/05/2000 00:00:00,25/5/2000,*,*,Hidrelétrica,*,4,39334,57083306
26/05/2000 00:00:00,26/5/2000,*,*,Hidrelétrica,*,4,39701,73749976
27/05/2000 00:00:00,27/5/2000,*,*,Hidrelétrica,*,4,37189,95833308
28/05/2000 00:00:00,28/5/2000,*,*,Hidrelétrica,*,4,32718,79583308
29/05/2000 00:00:00,29/5/2000,*,*,Hidrelétrica,*,4,38775,48333308
30/05/2000 00:00:00,30/5/2000,*,*,Hidrelétrica,*,4,40049,18749975
31/05/2000 00:00:00,31/5/2000,*,*,Hidrelétrica,*,4,40310,89999975
01/06/2000 00:00:00,1/6/2000,*,*,Hidrelétrica,*,4,40341,87916644
02/06/2000 00:00:00,2/6/2000,*,*,Hidrelétrica,*,4,40011,77083311
03/06/2000 00:00:00,3/6/2000,*,*,Hidrelétrica,*,4,36465,5666664
