Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
03/01/2020 16:00:00,3/1/2020 16:00,*,*,Hidrelétrica,*,5,48463,51600185
03/01/2020 17:00:00,3/1/2020 17:00,*,*,Hidrelétrica,*,5,46964,07999447
03/01/2020 18:00:00,3/1/2020 18:00,*,*,Hidrelétrica,*,5,47663,33199388
03/01/2020 19:00:00,3/1/2020 19:00,*,*,Hidrelétrica,*,5,51671,00698197
03/01/2020 20:00:00,3/1/2020 20:00,*,*,Hidrelétrica,*,5,52497,76300516
03/01/2020 21:00:00,3/1/2020 21:00,*,*,Hidrelétrica,*,5,52666,77100094
03/01/2020 22:00:00,3/1/2020 22:00,*,*,Hidrelétrica,*,5,50900,48300063
03/01/2020 23:00:00,3/1/2020 23:00,*,*,Hidrelétrica,*,5,47796,943997
04/01/2020 00:00:00,4/1/2020 0:00,*,*,Hidrelétrica,*,5,44677,4810004
04/01/2020 01:00:00,4/1/2020 1:00,*,*,Hidrelétrica,*,5,41987,50199626
04/01/2020 02:00:00,4/1/2020 2:00,*,*,Hidrelétrica,*,5,40421,62300322
04/01/2020 03:00:00,4/1/2020 3:00,*,*,Hidrelétrica,*,5,39572,21199573
04/01/2020 04:00:00,4/1/2020 4:00,*,*,Hidrelétrica,*,5,39450,58299987
04/01/2020 05:00:00,4/1/2020 5:00,*,*,Hidrelétrica,*,5,37994,2929995
04/01/2020 06:00:00,4/1/2020 6:00,*,*,Hidrelétrica,*,5,36850,01199523
04/01/2020 07:00:00,4/1/2020 7:00,*,*,Hidrelétrica,*,5,38676,25100354
04/01/2020 08:00:00,4/1/2020 8:00,*,*,Hidrelétrica,*,5,41193,64700397
04/01/2020 09:00:00,4/1/2020 9:00,*,*,Hidrelétrica,*,5,42607,15399698
04/01/2020 10:00:00,4/1/2020 10:00,*,*,Hidrelétrica,*,5,43500,33300592
04/01/2020 11:00:00,4/1/2020 11:00,*,*,Hidrelétrica,*,5,43629,1960002
04/01/2020 12:00:00,4/1/2020 12:00,*,*,Hidrelétrica,*,5,42793,66899896
04/01/2020 13:00:00,4/1/2020 13:00,*,*,Hidrelétrica,*,5,42247,56599652
04/01/2020 14:00:00,4/1/2020 14:00,*,*,Hidrelétrica,*,5,42858,8069982
04/01/2020 15:00:00,4/1/2020 15:00,*,*,Hidrelétrica,*,5,43542,79199523
04/01/2020 16:00:00,4/1/2020 16:00,*,*,Hidrelétrica,*,5,43884,12199768
04/01/2020 17:00:00,4/1/2020 17:00,*,*,Hidrelétrica,*,5,44956,64801123
04/01/2020 18:00:00,4/1/2020 18:00,*,*,Hidrelétrica,*,5,48949,32899573
04/01/2020 19:00:00,4/1/2020 19:00,*,*,Hidrelétrica,*,5,52913,29700153
04/01/2020 20:00:00,4/1/2020 20:00,*,*,Hidrelétrica,*,5,52403,95399798
04/01/2020 21:00:00,4/1/2020 21:00,*,*,Hidrelétrica,*,5,50526,70900113
04/01/2020 22:00:00,4/1/2020 22:00,*,*,Hidrelétrica,*,5,48535,18999423
04/01/2020 23:00:00,4/1/2020 23:00,*,*,Hidrelétrica,*,5,45770,23999011
05/01/2020 00:00:00,5/1/2020 0:00,*,*,Hidrelétrica,*,5,43118,75700514
05/01/2020 01:00:00,5/1/2020 1:00,*,*,Hidrelétrica,*,5,40695,28500579
05/01/2020 02:00:00,5/1/2020 2:00,*,*,Hidrelétrica,*,5,38866,1050038
05/01/2020 03:00:00,5/1/2020 3:00,*,*,Hidrelétrica,*,5,37612,44500144
05/01/2020 04:00:00,5/1/2020 4:00,*,*,Hidrelétrica,*,5,36636,96200822
05/01/2020 05:00:00,5/1/2020 5:00,*,*,Hidrelétrica,*,5,34694,001998
05/01/2020 06:00:00,5/1/2020 6:00,*,*,Hidrelétrica,*,5,33622,55499903
05/01/2020 07:00:00,5/1/2020 7:00,*,*,Hidrelétrica,*,5,34615,69499794
05/01/2020 08:00:00,5/1/2020 8:00,*,*,Hidrelétrica,*,5,35716,21000147
05/01/2020 09:00:00,5/1/2020 9:00,*,*,Hidrelétrica,*,5,37059,65300442
05/01/2020 10:00:00,5/1/2020 10:00,*,*,Hidrelétrica,*,5,37960,49900059
05/01/2020 11:00:00,5/1/2020 11:00,*,*,Hidrelétrica,*,5,38511,94499915
05/01/2020 12:00:00,5/1/2020 12:00,*,*,Hidrelétrica,*,5,38589,08200537
05/01/2020 13:00:00,5/1/2020 13:00,*,*,Hidrelétrica,*,5,37924,71500598
05/01/2020 14:00:00,5/1/2020 14:00,*,*,Hidrelétrica,*,5,37648,6600003
05/01/2020 15:00:00,5/1/2020 15:00,*,*,Hidrelétrica,*,5,37589,53999435
05/01/2020 16:00:00,5/1/2020 16:00,*,*,Hidrelétrica,*,5,38356,65699639
05/01/2020 17:00:00,5/1/2020 17:00,*,*,Hidrelétrica,*,5,40615,03099982
05/01/2020 18:00:00,5/1/2020 18:00,*,*,Hidrelétrica,*,5,44791,93698239
05/01/2020 19:00:00,5/1/2020 19:00,*,*,Hidrelétrica,*,5,48639,80599427
05/01/2020 20:00:00,5/1/2020 20:00,*,*,Hidrelétrica,*,5,49666,40198965
05/01/2020 21:00:00,5/1/2020 21:00,*,*,Hidrelétrica,*,5,48922,03800801
05/01/2020 22:00:00,5/1/2020 22:00,*,*,Hidrelétrica,*,5,47801,72799709
05/01/2020 23:00:00,5/1/2020 23:00,*,*,Hidrelétrica,*,5,45579,32100082
06/01/2020 00:00:00,6/1/2020 0:00,*,*,Hidrelétrica,*,5,42835,76601189
06/01/2020 01:00:00,6/1/2020 1:00,*,*,Hidrelétrica,*,5,40889,81999122
06/01/2020 02:00:00,6/1/2020 2:00,*,*,Hidrelétrica,*,5,39031,88699515
06/01/2020 03:00:00,6/1/2020 3:00,*,*,Hidrelétrica,*,5,38106,65299251
06/01/2020 04:00:00,6/1/2020 4:00,*,*,Hidrelétrica,*,5,38073,34399683
06/01/2020 05:00:00,6/1/2020 5:00,*,*,Hidrelétrica,*,5,37216,12499831
06/01/2020 06:00:00,6/1/2020 6:00,*,*,Hidrelétrica,*,5,38406,94899586
06/01/2020 07:00:00,6/1/2020 7:00,*,*,Hidrelétrica,*,5,43144,75999866
06/01/2020 08:00:00,6/1/2020 8:00,*,*,Hidrelétrica,*,5,48864,42699886
06/01/2020 09:00:00,6/1/2020 9:00,*,*,Hidrelétrica,*,5,52802,47899396
06/01/2020 10:00:00,6/1/2020 10:00,*,*,Hidrelétrica,*,5,55238,7809967
06/01/2020 11:00:00,6/1/2020 11:00,*,*,Hidrelétrica,*,5,55630,34300415
06/01/2020 12:00:00,6/1/2020 12:00,*,*,Hidrelétrica,*,5,54850,02499019
06/01/2020 13:00:00,6/1/2020 13:00,*,*,Hidrelétrica,*,5,57681,20100157
06/01/2020 14:00:00,6/1/2020 14:00,*,*,Hidrelétrica,*,5,58571,08700566
06/01/2020 15:00:00,6/1/2020 15:00,*,*,Hidrelétrica,*,5,58010,93400238
06/01/2020 16:00:00,6/1/2020 16:00,*,*,Hidrelétrica,*,5,57181,35699895
06/01/2020 17:00:00,6/1/2020 17:00,*,*,Hidrelétrica,*,5,53643,31900156
06/01/2020 18:00:00,6/1/2020 18:00,*,*,Hidrelétrica,*,5,51705,10799699
06/01/2020 19:00:00,6/1/2020 19:00,*,*,Hidrelétrica,*,5,56151,44199979
06/01/2020 20:00:00,6/1/2020 20:00,*,*,Hidrelétrica,*,5,58154,6460058
06/01/2020 21:00:00,6/1/2020 21:00,*,*,Hidrelétrica,*,5,59342,03799579
06/01/2020 22:00:00,6/1/2020 22:00,*,*,Hidrelétrica,*,5,58397,9699943
06/01/2020 23:00:00,6/1/2020 23:00,*,*,Hidrelétrica,*,5,54906,6200023
07/01/2020 00:00:00,7/1/2020 0:00,*,*,Hidrelétrica,*,5,51031,34200112
07/01/2020 01:00:00,7/1/2020 1:00,*,*,Hidrelétrica,*,5,47736,01600666
07/01/2020 02:00:00,7/1/2020 2:00,*,*,Hidrelétrica,*,5,46008,82999941
07/01/2020 03:00:00,7/1/2020 3:00,*,*,Hidrelétrica,*,5,44767,35900028
07/01/2020 04:00:00,7/1/2020 4:00,*,*,Hidrelétrica,*,5,44614,69699988
07/01/2020 05:00:00,7/1/2020 5:00,*,*,Hidrelétrica,*,5,43174,34800577
07/01/2020 06:00:00,7/1/2020 6:00,*,*,Hidrelétrica,*,5,44150,71899429
07/01/2020 07:00:00,7/1/2020 7:00,*,*,Hidrelétrica,*,5,49504,35100092
07/01/2020 08:00:00,7/1/2020 8:00,*,*,Hidrelétrica,*,5,55311,99701181
07/01/2020 09:00:00,7/1/2020 9:00,*,*,Hidrelétrica,*,5,58296,76000144
07/01/2020 10:00:00,7/1/2020 10:00,*,*,Hidrelétrica,*,5,60017,16800236
07/01/2020 11:00:00,7/1/2020 11:00,*,*,Hidrelétrica,*,5,59776,58499652
07/01/2020 12:00:00,7/1/2020 12:00,*,*,Hidrelétrica,*,5,57995,44000436
07/01/2020 13:00:00,7/1/2020 13:00,*,*,Hidrelétrica,*,5,60365,37499707
07/01/2020 14:00:00,7/1/2020 14:00,*,*,Hidrelétrica,*,5,61987,45700258
07/01/2020 15:00:00,7/1/2020 15:00,*,*,Hidrelétrica,*,5,61776,98300339
07/01/2020 16:00:00,7/1/2020 16:00,*,*,Hidrelétrica,*,5,61216,77200543
07/01/2020 17:00:00,7/1/2020 17:00,*,*,Hidrelétrica,*,5,57585,42899794
07/01/2020 18:00:00,7/1/2020 18:00,*,*,Hidrelétrica,*,5,55721,22499894
07/01/2020 19:00:00,7/1/2020 19:00,*,*,Hidrelétrica,*,5,58697,31800341
07/01/2020 20:00:00,7/1/2020 20:00,*,*,Hidrelétrica,*,5,59443,21599496
07/01/2020 21:00:00,7/1/2020 21:00,*,*,Hidrelétrica,*,5,59844,91399505
07/01/2020 22:00:00,7/1/2020 22:00,*,*,Hidrelétrica,*,5,58558,07099776
07/01/2020 23:00:00,7/1/2020 23:00,*,*,Hidrelétrica,*,5,55137,95300108
08/01/2020 00:00:00,8/1/2020 0:00,*,*,Hidrelétrica,*,5,51056,15001088
08/01/2020 01:00:00,8/1/2020 1:00,*,*,Hidrelétrica,*,5,48479,39999464
08/01/2020 02:00:00,8/1/2020 2:00,*,*,Hidrelétrica,*,5,46851,71399814
08/01/2020 03:00:00,8/1/2020 3:00,*,*,Hidrelétrica,*,5,45623,33699863
08/01/2020 04:00:00,8/1/2020 4:00,*,*,Hidrelétrica,*,5,45202,00999528
08/01/2020 05:00:00,8/1/2020 5:00,*,*,Hidrelétrica,*,5,44870,68700434
08/01/2020 06:00:00,8/1/2020 6:00,*,*,Hidrelétrica,*,5,45536,38899968
08/01/2020 07:00:00,8/1/2020 7:00,*,*,Hidrelétrica,*,5,50433,82700245
08/01/2020 08:00:00,8/1/2020 8:00,*,*,Hidrelétrica,*,5,55821,20699825
