Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
,,*,*,Solar,*,5,7681641,948
03/01/2020 20:00:00,3/1/2020 20:00,*,*,Solar,*,5,0
03/01/2020 21:00:00,3/1/2020 21:00,*,*,Solar,*,5,0
03/01/2020 22:00:00,3/1/2020 22:00,*,*,Solar,*,5,0
03/01/2020 23:00:00,3/1/2020 23:00,*,*,Solar,*,5,0
04/01/2020 00:00:00,4/1/2020 0:00,*,*,Solar,*,5,0
04/01/2020 01:00:00,4/1/2020 1:00,*,*,Solar,*,5,0
04/01/2020 02:00:00,4/1/2020 2:00,*,*,Solar,*,5,0
04/01/2020 03:00:00,4/1/2020 3:00,*,*,Solar,*,5,0
04/01/2020 04:00:00,4/1/2020 4:00,*,*,Solar,*,5,0
04/01/2020 05:00:00,4/1/2020 5:00,*,*,Solar,*,5,3,971
04/01/2020 06:00:00,4/1/2020 6:00,*,*,Solar,*,5,108,08
04/01/2020 07:00:00,4/1/2020 7:00,*,*,Solar,*,5,306,61
04/01/2020 08:00:00,4/1/2020 8:00,*,*,Solar,*,5,539,101
04/01/2020 09:00:00,4/1/2020 9:00,*,*,Solar,*,5,888,679
04/01/2020 10:00:00,4/1/2020 10:00,*,*,Solar,*,5,1089,763
04/01/2020 11:00:00,4/1/2020 11:00,*,*,Solar,*,5,1049,313
04/01/2020 12:00:00,4/1/2020 12:00,*,*,Solar,*,5,1289,539
04/01/2020 13:00:00,4/1/2020 13:00,*,*,Solar,*,5,1220,995
04/01/2020 14:00:00,4/1/2020 14:00,*,*,Solar,*,5,993,836
04/01/2020 15:00:00,4/1/2020 15:00,*,*,Solar,*,5,572,842
04/01/2020 16:00:00,4/1/2020 16:00,*,*,Solar,*,5,378,077
04/01/2020 17:00:00,4/1/2020 17:00,*,*,Solar,*,5,100,824
04/01/2020 18:00:00,4/1/2020 18:00,*,*,Solar,*,5,11,85
04/01/2020 19:00:00,4/1/2020 19:00,*,*,Solar,*,5,0,073
04/01/2020 20:00:00,4/1/2020 20:00,*,*,Solar,*,5,0
04/01/2020 21:00:00,4/1/2020 21:00,*,*,Solar,*,5,0
04/01/2020 22:00:00,4/1/2020 22:00,*,*,Solar,*,5,0
04/01/2020 23:00:00,4/1/2020 23:00,*,*,Solar,*,5,0
05/01/2020 00:00:00,5/1/2020 0:00,*,*,Solar,*,5,0
05/01/2020 01:00:00,5/1/2020 1:00,*,*,Solar,*,5,0
05/01/2020 02:00:00,5/1/2020 2:00,*,*,Solar,*,5,0
05/01/2020 03:00:00,5/1/2020 3:00,*,*,Solar,*,5,0
05/01/2020 04:00:00,5/1/2020 4:00,*,*,Solar,*,5,0
05/01/2020 05:00:00,5/1/2020 5:00,*,*,Solar,*,5,4,952
05/01/2020 06:00:00,5/1/2020 6:00,*,*,Solar,*,5,142,076
05/01/2020 07:00:00,5/1/2020 7:00,*,*,Solar,*,5,395,522
05/01/2020 08:00:00,5/1/2020 8:00,*,*,Solar,*,5,630,195
05/01/2020 09:00:00,5/1/2020 9:00,*,*,Solar,*,5,932,774
05/01/2020 10:00:00,5/1/2020 10:00,*,*,Solar,*,5,1250,692
05/01/2020 11:00:00,5/1/2020 11:00,*,*,Solar,*,5,1278,676
05/01/2020 12:00:00,5/1/2020 12:00,*,*,Solar,*,5,1266,471
05/01/2020 13:00:00,5/1/2020 13:00,*,*,Solar,*,5,1295,149
05/01/2020 14:00:00,5/1/2020 14:00,*,*,Solar,*,5,1154,699
05/01/2020 15:00:00,5/1/2020 15:00,*,*,Solar,*,5,974,908
05/01/2020 16:00:00,5/1/2020 16:00,*,*,Solar,*,5,576,188
05/01/2020 17:00:00,5/1/2020 17:00,*,*,Solar,*,5,146,697
05/01/2020 18:00:00,5/1/2020 18:00,*,*,Solar,*,5,30,155
05/01/2020 19:00:00,5/1/2020 19:00,*,*,Solar,*,5,0,154
05/01/2020 20:00:00,5/1/2020 20:00,*,*,Solar,*,5,0
05/01/2020 21:00:00,5/1/2020 21:00,*,*,Solar,*,5,0
05/01/2020 22:00:00,5/1/2020 22:00,*,*,Solar,*,5,0
05/01/2020 23:00:00,5/1/2020 23:00,*,*,Solar,*,5,0
06/01/2020 00:00:00,6/1/2020 0:00,*,*,Solar,*,5,0
06/01/2020 01:00:00,6/1/2020 1:00,*,*,Solar,*,5,0
06/01/2020 02:00:00,6/1/2020 2:00,*,*,Solar,*,5,0
06/01/2020 03:00:00,6/1/2020 3:00,*,*,Solar,*,5,0
06/01/2020 04:00:00,6/1/2020 4:00,*,*,Solar,*,5,0
06/01/2020 05:00:00,6/1/2020 5:00,*,*,Solar,*,5,7,938
06/01/2020 06:00:00,6/1/2020 6:00,*,*,Solar,*,5,234,954
06/01/2020 07:00:00,6/1/2020 7:00,*,*,Solar,*,5,541,368
06/01/2020 08:00:00,6/1/2020 8:00,*,*,Solar,*,5,912,632
06/01/2020 09:00:00,6/1/2020 9:00,*,*,Solar,*,5,1163,342
06/01/2020 10:00:00,6/1/2020 10:00,*,*,Solar,*,5,1185,788
06/01/2020 11:00:00,6/1/2020 11:00,*,*,Solar,*,5,1242,93
06/01/2020 12:00:00,6/1/2020 12:00,*,*,Solar,*,5,1261,135
06/01/2020 13:00:00,6/1/2020 13:00,*,*,Solar,*,5,1164,937
06/01/2020 14:00:00,6/1/2020 14:00,*,*,Solar,*,5,1114,424
06/01/2020 15:00:00,6/1/2020 15:00,*,*,Solar,*,5,902,401
06/01/2020 16:00:00,6/1/2020 16:00,*,*,Solar,*,5,582,849
06/01/2020 17:00:00,6/1/2020 17:00,*,*,Solar,*,5,209,632
06/01/2020 18:00:00,6/1/2020 18:00,*,*,Solar,*,5,21,265
06/01/2020 19:00:00,6/1/2020 19:00,*,*,Solar,*,5,0,033
06/01/2020 20:00:00,6/1/2020 20:00,*,*,Solar,*,5,0
06/01/2020 21:00:00,6/1/2020 21:00,*,*,Solar,*,5,0
06/01/2020 22:00:00,6/1/2020 22:00,*,*,Solar,*,5,0
06/01/2020 23:00:00,6/1/2020 23:00,*,*,Solar,*,5,0
07/01/2020 00:00:00,7/1/2020 0:00,*,*,Solar,*,5,0
07/01/2020 01:00:00,7/1/2020 1:00,*,*,Solar,*,5,0
07/01/2020 02:00:00,7/1/2020 2:00,*,*,Solar,*,5,0
07/01/2020 03:00:00,7/1/2020 3:00,*,*,Solar,*,5,0
07/01/2020 04:00:00,7/1/2020 4:00,*,*,Solar,*,5,0
07/01/2020 05:00:00,7/1/2020 5:00,*,*,Solar,*,5,7,423
07/01/2020 06:00:00,7/1/2020 6:00,*,*,Solar,*,5,181,822
07/01/2020 07:00:00,7/1/2020 7:00,*,*,Solar,*,5,569,833
07/01/2020 08:00:00,7/1/2020 8:00,*,*,Solar,*,5,923,57
07/01/2020 09:00:00,7/1/2020 9:00,*,*,Solar,*,5,1137,096
07/01/2020 10:00:00,7/1/2020 10:00,*,*,Solar,*,5,1476,607
07/01/2020 11:00:00,7/1/2020 11:00,*,*,Solar,*,5,1534,599
07/01/2020 12:00:00,7/1/2020 12:00,*,*,Solar,*,5,1406,585
07/01/2020 13:00:00,7/1/2020 13:00,*,*,Solar,*,5,1289,269
07/01/2020 14:00:00,7/1/2020 14:00,*,*,Solar,*,5,1117,419
07/01/2020 15:00:00,7/1/2020 15:00,*,*,Solar,*,5,1067,803
07/01/2020 16:00:00,7/1/2020 16:00,*,*,Solar,*,5,860,081
07/01/2020 17:00:00,7/1/2020 17:00,*,*,Solar,*,5,285,286
07/01/2020 18:00:00,7/1/2020 18:00,*,*,Solar,*,5,18,391
07/01/2020 19:00:00,7/1/2020 19:00,*,*,Solar,*,5,0,062
07/01/2020 20:00:00,7/1/2020 20:00,*,*,Solar,*,5,0,002
07/01/2020 21:00:00,7/1/2020 21:00,*,*,Solar,*,5,0,002
07/01/2020 22:00:00,7/1/2020 22:00,*,*,Solar,*,5,0,003
07/01/2020 23:00:00,7/1/2020 23:00,*,*,Solar,*,5,0,002
08/01/2020 00:00:00,8/1/2020 0:00,*,*,Solar,*,5,0
08/01/2020 01:00:00,8/1/2020 1:00,*,*,Solar,*,5,0
08/01/2020 02:00:00,8/1/2020 2:00,*,*,Solar,*,5,0
08/01/2020 03:00:00,8/1/2020 3:00,*,*,Solar,*,5,0
