Data Escala de Tempo 1 GE Simp 4,Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
02/01/2020 22:00:00,2/1/2020 22:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,1999,943
02/01/2020 23:00:00,2/1/2020 23:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2000,45
03/01/2020 00:00:00,3/1/2020 0:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2000,961
03/01/2020 01:00:00,3/1/2020 1:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2001,145
03/01/2020 02:00:00,3/1/2020 2:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2000,845
03/01/2020 03:00:00,3/1/2020 3:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2002,104
03/01/2020 04:00:00,3/1/2020 4:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2002,202
03/01/2020 05:00:00,3/1/2020 5:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2003,125
03/01/2020 06:00:00,3/1/2020 6:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,684
03/01/2020 07:00:00,3/1/2020 7:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,158
03/01/2020 08:00:00,3/1/2020 8:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,211
03/01/2020 09:00:00,3/1/2020 9:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,07
03/01/2020 10:00:00,3/1/2020 10:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,336
03/01/2020 11:00:00,3/1/2020 11:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,305
03/01/2020 12:00:00,3/1/2020 12:00,RIO DE JANEIRO,Sudeste/Centro-Oeste,Nuclear,*,5,2004,503
