Dia de Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
20 de março de 2020,20/03/2020 00:00:00,Dia,Sul,12455,08470833
21 de março de 2020,21/03/2020 00:00:00,Dia,Sul,10636,564625
22 de março de 2020,22/03/2020 00:00:00,Dia,Sul,9501,286375
23 de março de 2020,23/03/2020 00:00:00,Dia,Sul,11283,65466667
24 de março de 2020,24/03/2020 00:00:00,Dia,Sul,11259,402375
25 de março de 2020,25/03/2020 00:00:00,Dia,Sul,11180,41941667
26 de março de 2020,26/03/2020 00:00:00,Dia,Sul,11228,144625
27 de março de 2020,27/03/2020 00:00:00,Dia,Sul,11145,04441667
28 de março de 2020,28/03/2020 00:00:00,Dia,Sul,10336,112125
29 de março de 2020,29/03/2020 00:00:00,Dia,Sul,9545,28258333
30 de março de 2020,30/03/2020 00:00:00,Dia,Sul,11670,5115
31 de março de 2020,31/03/2020 00:00:00,Dia,Sul,12053,37491667
1 de abril de 2020,01/04/2020 00:00:00,Dia,Sul,11984,303625
2 de abril de 2020,02/04/2020 00:00:00,Dia,Sul,11603,95404167
3 de abril de 2020,03/04/2020 00:00:00,Dia,Sul,
